Date,Open,High,Low,Close,Adj Close,Volume
2010-03-04,57.470001,57.990002,56.869999,57.590000,38.365475,674100
2010-03-05,57.650002,58.000000,57.330002,57.810001,38.512043,561900
2010-03-08,58.080002,58.200001,57.700001,57.860001,38.545349,297400
2010-03-09,57.700001,57.900002,57.250000,57.709999,38.445419,485200
2010-03-10,57.630001,58.150002,57.470001,57.660000,38.412102,247800
2010-03-11,57.439999,57.990002,57.160000,57.950001,38.605309,311300
2010-03-12,58.419998,58.709999,58.360001,58.570000,39.018337,372800
2010-03-15,58.380001,59.310001,58.290001,59.299999,39.504654,330600
2010-03-16,59.520000,60.400002,59.400002,60.150002,40.070908,513500
2010-03-17,60.389999,60.610001,60.029999,60.360001,40.210812,304700
2010-03-18,60.220001,60.480000,59.860001,60.090000,40.030930,219200
2010-03-19,60.040001,60.540001,59.680000,60.040001,39.997623,388700
2010-03-22,59.299999,60.709999,59.160000,60.540001,40.330711,418300
2010-03-23,60.700001,61.400002,60.560001,61.230000,40.790379,437000
2010-03-24,60.799999,60.950001,60.380001,60.500000,40.304073,295500
2010-03-25,61.110001,61.450001,60.639999,60.810001,40.510578,462700
2010-03-26,60.770000,60.939999,59.619999,60.150002,40.070908,677500
2010-03-29,60.689999,60.709999,60.009998,60.470001,40.284088,343500
2010-03-30,60.959999,61.119999,60.680000,60.709999,40.443974,247600
2010-03-31,60.869999,61.070000,60.360001,60.700001,40.437309,314300
2010-04-01,61.040001,61.740002,60.939999,61.509998,40.976921,326600
2010-04-05,61.730000,61.900002,61.169998,61.430000,40.923618,362000
2010-04-06,61.049999,61.820000,60.740002,61.250000,40.803715,346900
2010-04-07,61.410000,61.580002,60.709999,60.919998,40.583866,433300
2010-04-08,60.520000,61.180000,59.950001,60.980000,40.623840,253900
2010-04-09,60.880001,61.400002,60.720001,60.950001,40.603855,324900
2010-04-12,60.950001,61.650002,60.880001,61.070000,40.683792,282200
2010-04-13,60.959999,61.340000,60.689999,61.130001,40.723766,239600
2010-04-14,61.520000,63.169998,61.349998,63.060001,42.009514,705800
2010-04-15,62.930000,64.110001,62.889999,63.509998,42.309280,524100
2010-04-16,63.450001,64.459999,62.459999,62.990002,41.962864,1015700
2010-04-19,62.220001,63.490002,61.970001,63.270000,42.149403,701900
2010-04-20,64.199997,64.580002,64.089996,64.570000,43.015438,624900
2010-04-21,64.750000,65.180000,63.959999,64.400002,42.902184,733700
2010-04-22,64.269997,64.800003,63.750000,64.730003,43.122032,656800
2010-04-23,64.510002,65.059998,64.279999,64.900002,43.235275,413300
2010-04-26,65.199997,65.680000,64.959999,65.300003,43.501759,732300
2010-04-27,64.500000,65.220001,63.439999,63.439999,42.262638,1023700
2010-04-28,64.050003,64.050003,62.720001,63.180000,42.089451,1366500
2010-04-29,62.990002,63.779999,62.939999,63.250000,42.608162,698300
2010-04-30,63.250000,63.520000,61.939999,61.990002,41.759361,565600
2010-05-03,62.689999,62.889999,62.230000,62.799999,42.305004,385200
2010-05-04,61.770000,61.770000,60.450001,60.709999,40.897091,624800
2010-05-05,59.450001,59.820000,58.040001,59.250000,39.913563,955800
2010-05-06,58.500000,58.650002,52.000000,56.029999,37.744427,1767400
2010-05-07,56.590000,56.910000,54.980000,56.299999,37.926311,1658200
2010-05-10,59.720001,59.939999,58.290001,58.889999,39.671047,805400
2010-05-11,58.700001,60.299999,58.599998,59.119999,39.825985,706200
2010-05-12,59.880001,60.619999,59.400002,60.560001,40.796047,741500
2010-05-13,60.680000,60.980000,60.040001,60.180000,40.540043,835000
2010-05-14,59.410000,59.410000,57.759998,58.570000,39.455490,901600
2010-05-17,58.549999,58.950001,57.060001,58.279999,39.260120,777700
2010-05-18,59.290001,59.720001,58.130001,58.330002,39.293800,1190000
2010-05-19,57.810001,59.000000,57.209999,58.529999,39.428524,1191900
2010-05-20,57.349998,57.349998,55.560001,55.560001,37.427803,1337200
2010-05-21,55.090000,56.720001,53.549999,56.720001,38.209240,1819100
2010-05-24,56.189999,57.090000,56.130001,56.130001,37.811775,504000
2010-05-25,54.529999,55.810001,54.000000,55.650002,37.488438,1642500
