Date,Open,High,Low,Close,Adj Close,Volume
2010-03-04,38.599998,38.689999,37.840000,38.200001,34.106869,116900
2010-03-05,38.360001,38.590000,38.240002,38.380001,34.267593,115300
2010-03-08,37.810001,38.730000,37.810001,38.480000,34.356873,173100
2010-03-09,38.320000,38.520000,38.150002,38.410000,34.294380,263600
2010-03-10,38.330002,38.470001,38.130001,38.400002,34.285439,223100
2010-03-11,38.450001,38.799999,38.049999,38.750000,34.597939,122800
2010-03-12,38.810001,39.480000,38.810001,39.020000,34.839005,88900
2010-03-15,38.820000,39.009998,38.389999,38.919998,34.749733,69400
2010-03-16,39.320000,39.320000,38.689999,38.869999,34.705074,142400
2010-03-17,39.000000,39.150002,38.849998,39.009998,34.830090,75100
2010-03-18,38.990002,39.049999,38.450001,38.560001,34.428303,82600
2010-03-19,38.040001,38.549999,38.040001,38.040001,33.964008,104200
2010-03-22,37.570000,38.040001,37.570000,37.919998,33.856880,83200
2010-03-23,38.099998,38.200001,37.860001,38.119999,34.035446,65200
2010-03-24,37.810001,37.849998,37.410000,37.630001,33.597954,89800
2010-03-25,37.910000,38.139999,37.500000,37.500000,33.481884,158500
2010-03-26,37.669998,37.750000,37.400002,37.580002,33.553307,121200
2010-03-29,37.900002,38.240002,37.750000,38.150002,34.062241,106300
2010-03-30,38.369999,38.630001,38.250000,38.529999,34.401505,78200
2010-03-31,38.650002,38.880001,38.380001,38.869999,34.705074,171500
2010-04-01,39.049999,40.570000,39.009998,40.279999,35.964001,251700
2010-04-05,40.360001,41.619999,40.360001,41.439999,36.999706,221200
2010-04-06,41.689999,41.830002,40.759998,41.009998,36.615788,174400
2010-04-07,40.730000,41.080002,40.340000,40.669998,36.312222,121600
2010-04-08,40.299999,41.330002,39.700001,41.150002,36.740780,155700
2010-04-09,41.169998,41.790001,41.169998,41.549999,37.097916,128200
2010-04-12,41.290001,42.029999,41.290001,41.680000,37.213985,103400
2010-04-13,41.470001,41.849998,40.880001,41.490002,37.044342,126900
2010-04-14,41.570000,42.099998,41.570000,41.840000,37.356850,200100
2010-04-15,41.680000,42.160000,41.580002,41.900002,37.410423,151100
2010-04-16,41.509998,41.840000,40.680000,40.939999,36.553288,480600
2010-04-19,40.450001,40.889999,40.240002,40.849998,36.472919,155600
