Date,Open,High,Low,Close,Adj Close,Volume
2010-03-04,33.735001,33.939999,33.560001,33.840000,20.964798,2183800
2010-03-05,34.160000,34.525002,34.040001,34.445000,21.339613,2464800
2010-03-08,34.630001,34.770000,34.419998,34.494999,21.370583,1707400
2010-03-09,34.430000,34.654999,34.145000,34.270000,21.231199,1704400
2010-03-10,34.189999,34.730000,34.189999,34.605000,21.438740,1413800
2010-03-11,34.445000,34.889999,34.209999,34.889999,21.615303,1572200
2010-03-12,35.055000,35.549999,35.055000,35.395000,21.928162,1795400
2010-03-15,35.415001,35.965000,35.340000,35.915001,22.250319,1735800
2010-03-16,36.205002,36.994999,36.090000,36.980000,22.910116,3914000
2010-03-17,37.035000,37.139999,36.709999,36.860001,22.835768,2268400
2010-03-18,36.755001,36.860001,36.375000,36.590000,22.668497,1884400
2010-03-19,36.755001,36.869999,36.424999,36.755001,22.770721,2076000
2010-03-22,36.325001,37.160000,36.299999,37.080002,22.972069,1980800
2010-03-23,37.195000,37.529999,37.195000,37.459999,23.207481,2578400
2010-03-24,37.160000,37.200001,36.910000,37.049999,22.953484,1677600
2010-03-25,37.334999,37.730000,37.209999,37.310001,23.114563,2696400
2010-03-26,37.294998,37.360001,36.560001,37.025002,22.937998,3040000
2010-03-29,37.235001,37.270000,36.695000,37.029999,22.941093,3487800
2010-03-30,37.055000,37.320000,37.055000,37.250000,23.077387,2049800
2010-03-31,37.360001,37.400002,37.000000,37.290001,23.102169,2197800
2010-04-01,37.215000,37.345001,36.869999,37.255001,23.464321,2047600
2010-04-05,37.410000,37.410000,36.740002,36.834999,23.199783,1679600
2010-04-06,36.775002,37.250000,36.720001,37.060001,23.341505,1779000
2010-04-07,36.869999,37.080002,36.365002,36.505001,22.991949,1605000
2010-04-08,36.209999,37.044998,35.950001,36.910000,23.247032,1333800
2010-04-09,36.825001,37.139999,36.724998,36.939999,23.265928,1152000
2010-04-12,36.814999,37.264999,36.779999,37.090000,23.360399,778200
2010-04-13,36.959999,37.279999,36.820000,37.200001,23.429680,1299200
2010-04-14,37.349998,38.459999,37.349998,38.320000,24.135092,2362400
2010-04-15,38.244999,38.785000,38.005001,38.325001,24.138235,1925000
2010-04-16,38.275002,38.549999,37.480000,37.564999,23.659561,2627000
2010-04-19,37.365002,37.884998,37.055000,37.845001,23.835920,1866000
2010-04-20,38.299999,38.630001,38.139999,38.205002,24.062658,2155800
2010-04-21,38.299999,38.490002,37.924999,38.325001,24.138235,1782800
2010-04-22,38.020000,38.455002,37.794998,38.419998,24.198074,1735600
2010-04-23,38.290001,38.529999,38.049999,38.400002,24.185478,1399800
2010-04-26,38.400002,38.580002,38.195000,38.259998,24.097300,1382000
2010-04-27,38.005001,38.264999,37.040001,37.084999,23.357248,2287800
2010-04-28,37.345001,37.375000,36.750000,37.049999,23.335209,2264800
2010-04-29,37.299999,38.060001,37.270000,37.744999,23.772934,1815000
2010-04-30,37.884998,37.904999,37.165001,37.230000,23.448574,1654600
2010-05-03,37.619999,37.665001,37.314999,37.455002,23.590288,1125200
2010-05-04,37.119999,37.119999,36.200001,36.470001,22.969898,1921400
2010-05-05,35.900002,36.125000,35.325001,35.730000,22.503826,2031000
2010-05-06,35.380001,35.480000,32.285000,34.279999,21.590567,4845800
2010-05-07,34.650002,34.814999,33.529999,34.389999,21.659857,5620800
2010-05-10,36.160000,36.619999,35.610001,36.020000,22.686480,2628000
2010-05-11,35.865002,36.630001,35.785000,36.075001,22.721127,2569800
2010-05-12,36.430000,36.775002,36.139999,36.744999,23.143108,2107000
2010-05-13,36.735001,37.055000,36.334999,36.410000,22.932106,2163000
2010-05-14,36.005001,36.005001,34.980000,35.445000,22.324327,2003000
2010-05-17,35.505001,35.509998,34.294998,34.935001,22.003119,2476800
2010-05-18,35.480000,35.619999,34.509998,34.755001,21.889744,2284600
2010-05-19,34.395000,35.125000,33.939999,34.794998,21.914940,3264000
2010-05-20,33.755001,33.845001,32.834999,32.904999,20.724556,5758400
2010-05-21,32.720001,33.730000,32.224998,33.730000,21.244167,4888600
